Ap1,Ap11,Ap110,Ap115,Ap118,Ap12,Ap127,Ap13,Ap137,Ap14,Ap15,Ap19,Ap2,Ap20,Ap23,Ap24,Ap25,Ap26,Ap27,Ap29,Ap31,Ap33,Ap34,Ap36,Ap40,Ap41,Ap42,Ap46,Ap47,Ap48,Ap49,Ap50,Ap51,Ap53,Ap54,Ap55,Ap59,Ap6,Ap60,Ap61,Ap66,Ap7,Ap70,Ap74,Ap78,Ap80,Ap9,Ap94,Ap95,Ap96,zona
0.2631578947368416,0.0,0.0,0.0,0.0,0.8863636363636365,0.0,0.2413793103448274,0.0,0.2413793103448274,0.2571428571428571,0.7419354838709675,0.0,0.0,0.0,0.3181818181818183,0.1764705882352939,0.9500000000000002,0.1875,0.3333333333333339,0.0,0.0,0.2307692307692308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2000000000000001,0.0,0.0,0.0,0.8421052631578947,0.0,0.0,0.0,0.0,0.7666666666666666,0.0,0.3684210526315787,0.0,0
0.4210526315789469,0.0,0.0,0.0,1.0,0.8636363636363638,0.0,0.0,0.0,0.3103448275862068,0.0857142857142858,0.4193548387096775,0.0,0.1111111111111111,0.1724137931034479,0.3181818181818183,0.2647058823529411,0.75,0.28125,0.4666666666666668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4210526315789469,0.0,0.0,0.0,0.0,0.7333333333333334,0.0,0.5789473684210522,0.0,1
0.0,0.0,0.0,0.0,1.0,0.6590909090909092,0.0,0.3103448275862068,0.0,0.2758620689655173,0.0,0.32258064516129,0.0,0.3333333333333335,0.4827586206896548,0.8181818181818183,0.0,0.7000000000000002,0.0,0.2000000000000001,0.1428571428571432,0.4999999999999991,0.0,0.0,0.0,0.0,0.0,0.8333333333333321,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0666666666666668,0.0,0.0,0.0,0.4210526315789469,0.0,0.0,0.0,0.0,0.6333333333333333,0.0,0.0,0.0,2
0.0,0.0,0.0,0.0,0.0,0.5000000000000002,0.0,0.5517241379310343,0.0,0.4827586206896552,0.2285714285714286,0.5483870967741935,0.0,0.3888888888888888,0.5862068965517238,0.6363636363636367,0.0,0.8999999999999995,0.0,0.0,0.0,0.6666666666666661,0.0,0.0,0.0,0.75,0.0,0.6666666666666661,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5789473684210522,0.0,0.2142857142857144,0.0,0.0,0.5666666666666664,0.0,0.0,0.0,3
0.0,0.0,0.0,0.0,0.0,0.6363636363636365,0.0,0.5862068965517238,0.0,0.4482758620689653,0.3428571428571429,0.5806451612903225,0.0,0.4444444444444446,0.5517241379310343,0.5909090909090913,0.1764705882352939,0.8999999999999995,0.125,0.3333333333333339,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4210526315789469,0.0,0.3571428571428567,0.0,0.0,0.7333333333333334,0.0,0.0,0.0,4
0.0,0.117647058823529,0.0,0.0,0.0,0.6818181818181819,0.0,0.5862068965517238,0.0,0.4137931034482758,0.3999999999999999,0.4193548387096775,0.0,0.4166666666666665,0.5517241379310343,0.5,0.4705882352941173,0.7999999999999998,0.34375,0.666666666666667,0.0,0.0,0.1153846153846154,0.064516129032258,0.0,0.0,0.1153846153846154,0.0,0.0,0.0,0.0,0.0,0.0,0.21875,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.947368421052631,0.0,0.0,0.0,0.0,0.6666666666666665,0.0,0.0,0.0,5
0.0,0.5882352941176467,0.0,0.0,0.0,0.7045454545454548,0.0,0.8275862068965516,0.0,0.4482758620689653,0.4285714285714284,0.096774193548387,0.0,0.3888888888888888,0.8275862068965516,0.1363636363636367,0.5,0.1999999999999993,0.375,0.1333333333333337,0.0,0.0,0.4230769230769229,0.290322580645161,0.0,0.0,0.4230769230769229,0.0,0.0,0.0,0.0,0.0,0.0,0.0625,0.0,0.0,0.0,0.4333333333333335,0.0,0.0,0.0,0.6842105263157894,0.0,0.0,0.0,0.0,0.6333333333333333,0.0,0.0,0.0,6
0.0,0.8235294117647056,0.0,0.0,0.0,0.5227272727272729,0.0,0.8275862068965516,0.0,0.5172413793103448,0.4285714285714284,0.225806451612903,0.1538461538461533,0.3888888888888888,0.8275862068965516,0.0,0.5588235294117645,0.2999999999999998,0.4375,0.1333333333333337,0.0,0.0,0.5384615384615383,0.32258064516129,0.0,0.0,0.4230769230769229,0.0,0.0,0.0,0.0,0.0,0.0,0.1875,0.0,0.0,0.0999999999999996,0.5,0.4166666666666661,0.0,0.117647058823529,0.4736842105263159,0.2352941176470588,0.0,0.0,0.0,0.4333333333333331,0.0,0.0,0.0,7
0.0,0.5882352941176467,0.0,0.0,0.0,0.1818181818181821,0.0,0.7241379310344827,0.0,0.6206896551724137,0.4571428571428568,0.5483870967741935,0.5384615384615383,0.4722222222222223,0.7241379310344827,0.0,0.5882352941176467,0.4500000000000002,0.5,0.2666666666666666,0.0,0.0,0.3076923076923075,0.4193548387096775,0.3999999999999986,0.0,0.1153846153846154,0.0,0.3913043478260869,0.0,0.0,0.0,0.0,0.46875,0.0,0.0,0.1999999999999993,0.5333333333333337,0.916666666666666,0.0,0.2352941176470588,0.4736842105263159,0.5882352941176467,0.0,0.0,0.0,0.1666666666666665,0.0,0.0,0.0,8
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7586206896551722,0.0,0.6206896551724137,0.4857142857142857,0.4838709677419355,1.0,0.5555555555555554,0.7241379310344827,0.0,0.617647058823529,0.0,0.46875,0.0,0.0,0.0,0.0,0.5806451612903225,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.46875,0.0,0.0,0.0,0.6333333333333333,0.7499999999999991,0.0,0.0,0.8421052631578947,0.8823529411764701,0.0,0.0,0.0,0.1666666666666665,0.0,0.0,0.0,9
0.0,0.3529411764705878,0.0,0.0,0.0,0.0,0.0,0.8620689655172411,0.0,0.7241379310344827,0.4857142857142857,0.290322580645161,0.615384615384615,0.5,0.8275862068965516,0.0,0.7352941176470584,0.0,0.28125,0.0,0.0,0.0,0.0,0.354838709677419,0.5999999999999996,0.0,0.0,0.0,0.6086956521739131,0.0,0.0,0.0,0.0,0.28125,0.0,0.0,0.2999999999999998,0.3666666666666667,0.7499999999999991,0.3333333333333321,0.2941176470588234,0.5263157894736841,0.5294117647058822,0.0,0.0,0.0,0.2999999999999998,0.0,0.3157894736842106,0.0,10
0.0,0.9411764705882346,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.896551724137931,0.4857142857142857,0.0,0.0,0.4444444444444446,1.0,0.0,0.8823529411764706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7000000000000002,0.0,0.8333333333333321,0.916666666666666,0.7647058823529411,0.0,0.0,0.0,0.0,0.0,0.5333333333333332,0.0,0.7368421052631575,0.0,11
0.0,0.7647058823529411,0.0,0.0,0.0,0.0,0.0,0.8275862068965516,0.0,0.7241379310344827,0.5428571428571427,0.32258064516129,0.3076923076923075,0.4444444444444446,0.8275862068965516,0.0,0.7647058823529411,0.2999999999999998,0.28125,0.0,0.0,0.0,0.4615384615384612,0.354838709677419,0.0,0.0,0.1153846153846154,0.0,0.1739130434782607,0.0,0.0,0.2142857142857144,0.0,0.34375,0.0,0.4210526315789469,0.5999999999999996,0.4333333333333335,0.3333333333333321,0.3333333333333321,0.2941176470588234,0.3157894736842106,0.1764705882352935,0.0,0.0,0.0,0.2333333333333334,0.0,0.3157894736842106,0.0,12
0.0,0.3529411764705878,0.6363636363636367,0.0,0.0,0.0,0.0,0.5172413793103448,0.0,0.4482758620689653,0.5428571428571427,0.5483870967741935,0.3076923076923075,0.4444444444444446,0.5172413793103448,0.0,0.5,0.2999999999999998,0.6875,0.0,0.0,0.0,0.7307692307692308,0.6451612903225805,0.0,0.0,0.4230769230769229,0.0,0.4347826086956519,0.0,0.3684210526315787,0.2142857142857144,0.0,0.25,0.2666666666666666,0.3157894736842106,0.75,0.666666666666667,0.0,0.0,0.0,0.3157894736842106,0.4117647058823523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.5172413793103448,0.0,0.4137931034482758,0.5142857142857142,0.4838709677419355,0.0,0.4722222222222223,0.5172413793103448,0.0,0.441176470588235,0.0,0.65625,0.0,0.0,0.0,0.6923076923076921,0.6451612903225805,0.0,0.0,0.6923076923076921,0.0,0.4347826086956519,0.0,0.6315789473684204,0.0,0.0,0.0,0.4000000000000003,0.0,0.7000000000000002,0.6000000000000001,0.0,0.0,0.0,0.0,0.7058823529411757,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14
0.0,0.0,0.6363636363636367,0.0,0.0,0.2045454545454545,0.0,0.6206896551724137,0.0,0.6551724137931036,0.5428571428571427,0.290322580645161,0.0,0.5277777777777777,0.6206896551724137,0.0,0.6764705882352939,0.0,0.625,0.0,0.0,0.0,0.6923076923076921,0.7096774193548385,0.0,0.0,0.6923076923076921,0.0,0.2608695652173916,0.0,0.3684210526315787,0.25,0.0,0.34375,0.2666666666666666,0.0,0.3999999999999994,0.6333333333333333,0.0,0.0,0.0,0.0,0.4117647058823523,0.0,0.0,0.0,0.1333333333333333,0.0,0.0,0.0,15
0.0,0.117647058823529,0.0,0.0,0.0,0.2954545454545456,0.0,0.8275862068965516,0.0,1.0,0.5714285714285714,0.193548387096774,0.1538461538461533,0.5277777777777777,0.8275862068965516,0.0,0.9705882352941176,0.0,0.5,0.0,0.0,0.0,0.5384615384615383,0.6451612903225805,0.0,0.0,0.7692307692307692,0.166666666666666,0.0869565217391299,0.1052631578947362,0.0,0.4642857142857144,0.1999999999999993,0.625,0.2000000000000001,0.1052631578947362,0.0,0.7000000000000002,0.0,0.0,0.1764705882352935,0.0,0.0,0.0,0.0,0.0999999999999996,0.1666666666666665,0.0,0.0,0.0,16
0.0,0.117647058823529,0.0,0.0,0.0,0.3863636363636364,0.0,0.7586206896551722,0.0,0.7241379310344827,0.4285714285714284,0.5483870967741935,0.1538461538461533,0.4166666666666665,0.7586206896551722,0.4090909090909091,0.7058823529411762,0.0,0.25,0.0,0.0,0.0,0.2692307692307691,0.258064516129032,0.0,0.0,0.4615384615384612,0.4166666666666661,0.1739130434782607,0.2105263157894734,0.0,0.0714285714285711,0.3999999999999986,0.125,0.4000000000000003,0.2105263157894734,0.0,0.4666666666666668,0.3333333333333321,0.0,0.2941176470588234,0.2631578947368416,0.0,0.0,0.0,0.0999999999999996,0.2333333333333334,0.0,0.0,0.0,17
0.0,0.0,0.0,0.0,0.0,0.9772727272727276,0.0,0.4482758620689653,0.0,0.4482758620689653,0.2857142857142856,0.7419354838709675,0.0,0.3333333333333335,0.4137931034482758,1.0000000000000004,0.5,0.3999999999999994,0.0,0.0,0.0,0.0,0.2692307692307691,0.0,0.0,0.0,0.192307692307692,0.3333333333333321,0.0,0.0,0.0,0.0,0.0,0.15625,0.0,0.0,0.0,0.0,0.3333333333333321,0.0,0.0,0.2631578947368416,0.0,0.0,0.0,0.0,0.5999999999999996,0.0,0.7368421052631575,0.0,18
0.0,0.0,0.0,0.0,0.0,0.8863636363636365,0.0,0.4137931034482758,0.0,0.4137931034482758,0.2857142857142856,0.7419354838709675,0.0,0.3055555555555558,0.4137931034482758,0.954545454545455,0.5,0.6499999999999995,0.0,0.2666666666666666,0.2857142857142856,0.0,0.2692307692307691,0.0,0.0,0.0,0.192307692307692,0.3333333333333321,0.0,0.0,0.0,0.0,0.0,0.15625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2105263157894734,0.2352941176470588,0.0,0.0,0.0,0.6666666666666665,0.0,0.7368421052631575,0.0,19
0.1052631578947362,0.0,0.0,0.0,0.0,0.7727272727272729,0.0,0.4827586206896548,0.0,0.5517241379310343,0.1428571428571428,0.7096774193548385,0.0,0.3611111111111111,0.4827586206896548,0.8181818181818183,0.617647058823529,0.7000000000000002,0.0,0.4666666666666668,0.2857142857142856,0.6666666666666661,0.0,0.129032258064516,0.0,0.0,0.0,0.3333333333333321,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1333333333333333,0.3333333333333321,0.0,0.3529411764705878,0.6842105263157894,0.2352941176470588,0.0,0.0,0.0,0.6999999999999997,0.0,0.4736842105263159,0.0,20
0.0,0.117647058823529,0.0,0.0,0.0,0.7727272727272729,0.0,0.5172413793103448,0.0,0.6551724137931036,0.314285714285714,0.6774193548387095,0.0,0.4722222222222223,0.5172413793103448,0.5,0.7058823529411762,0.8499999999999996,0.0,0.0,0.0,0.916666666666666,0.0769230769230766,0.290322580645161,0.0,0.0,0.0,0.166666666666666,0.0,0.0,0.0,0.0,0.0,0.0625,0.0,0.0,0.0,0.3666666666666667,0.5833333333333321,0.0,0.8235294117647056,0.7368421052631575,0.2352941176470588,0.0714285714285711,0.0,0.0,0.5999999999999996,0.0,0.947368421052631,0.0,21
0.0,0.2352941176470588,0.0,0.0,0.0,0.6590909090909092,0.0,0.5172413793103448,0.0,0.4827586206896552,0.3999999999999999,0.6129032258064515,0.0,0.4166666666666665,0.5517241379310343,0.1363636363636367,0.5294117647058822,1.0,0.0,0.0,0.0,0.25,0.3076923076923075,0.161290322580645,0.0,0.0,0.1538461538461537,0.3333333333333321,0.0,0.0,0.0,0.0,0.0,0.15625,0.0,0.0,0.0,0.2000000000000001,0.166666666666666,0.0,0.6470588235294112,0.6315789473684204,0.4117647058823523,0.2142857142857144,0.0,0.0,0.5,0.0,0.2105263157894734,0.0,22
0.0,0.117647058823529,0.0,0.0,0.0,0.5681818181818183,0.0,0.4827586206896548,0.0,0.4137931034482758,0.3428571428571429,0.4193548387096775,0.0,0.3055555555555558,0.5172413793103448,0.0,0.4705882352941173,0.8999999999999995,0.0,0.0,0.0,0.0,0.3846153846153846,0.032258064516129,0.0,0.0,0.2307692307692308,0.3333333333333321,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.1,0.0,0.0,0.4117647058823523,0.6315789473684204,0.2352941176470588,0.2142857142857144,0.0,0.0,0.333333333333333,0.0,0.0,0.0,23
0.0,0.0,0.0,0.0,0.0,0.5227272727272729,0.0,0.4827586206896548,0.0,0.5172413793103448,0.3714285714285714,0.193548387096774,0.0,0.2777777777777777,0.4827586206896548,0.0,0.5588235294117645,0.3499999999999996,0.1875,0.0,0.0,0.0,0.4230769230769229,0.161290322580645,0.0,0.0,0.2307692307692308,0.4166666666666661,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.2631578947368416,0.0,0.1,0.25,0.4166666666666661,0.0,0.1578947368421053,0.0,0.3571428571428567,0.0,0.0,0.2333333333333334,0.0,0.0,0.0,24
0.0,0.0,0.0,0.0,0.0,0.2045454545454545,0.0,0.6206896551724137,0.0,0.7241379310344827,0.4857142857142857,0.32258064516129,0.0,0.4166666666666665,0.6206896551724137,0.4090909090909091,0.7058823529411762,0.0,0.1875,0.0,0.0,0.0,0.5384615384615383,0.4516129032258065,0.0,0.0,0.1538461538461537,0.3333333333333321,0.0,0.0,0.0,0.0,0.0,0.21875,0.3333333333333339,0.2631578947368416,0.4500000000000002,0.2333333333333334,0.25,0.4166666666666661,0.4117647058823523,0.0,0.7647058823529411,0.2142857142857144,0.0,0.0,0.5333333333333332,0.0,0.0,0.0,25
0.0,0.0,0.0,0.0,0.0,0.2727272727272729,0.0,0.6896551724137927,0.0,0.6206896551724137,0.3714285714285714,0.5483870967741935,0.0,0.5277777777777777,0.6896551724137927,0.7727272727272729,0.617647058823529,0.6499999999999995,0.21875,0.3333333333333339,0.0,0.0,0.5,0.4838709677419355,0.0,0.0,0.3076923076923075,0.4166666666666661,0.0,0.0,0.0,0.0,0.0,0.125,0.2000000000000001,0.0,0.2999999999999998,0.1333333333333333,0.0,0.0,0.7058823529411757,0.0,0.8823529411764701,0.0,0.0,0.0,0.5,0.0,0.0,0.0,26
0.0,0.0,0.0,0.0,0.0,0.2727272727272729,0.0,0.6896551724137927,0.0,0.5172413793103448,0.3714285714285714,0.354838709677419,0.0,0.5277777777777777,0.6896551724137927,0.5,0.5294117647058822,0.6499999999999995,0.21875,0.3333333333333339,0.0,0.0,0.2692307692307691,0.4193548387096775,0.3999999999999986,0.0,0.3076923076923075,0.4166666666666661,0.0,0.0,0.0,0.0,0.3999999999999986,0.1875,0.0,0.0,0.0,0.2000000000000001,0.0,0.25,0.4117647058823523,0.0,0.4117647058823523,0.0,0.0,0.0,0.2666666666666666,0.0,0.0,0.0,27
0.0,0.2941176470588234,0.0,0.0,0.0,0.0,0.0,0.7586206896551722,0.0,0.6896551724137931,0.4285714285714284,0.0,0.0,0.4722222222222223,0.7586206896551722,0.0,0.6470588235294117,0.0,0.21875,0.0,0.0,0.0,0.2307692307692308,0.387096774193548,0.6999999999999993,0.0,0.192307692307692,0.4166666666666661,0.0,0.0,0.0,0.0,0.5,0.28125,0.0,0.2105263157894734,0.2999999999999998,0.5333333333333337,0.0,0.9999999999999992,0.0,0.0,0.2352941176470588,0.0,0.0,0.0,0.0666666666666664,0.0,0.0,0.0,28
0.0,0.9411764705882346,0.3636363636363651,0.0,0.0,0.1818181818181821,0.0,0.8620689655172411,0.0,0.9310344827586206,0.5142857142857142,0.225806451612903,0.0,0.5277777777777777,0.8620689655172411,0.0,0.9117647058823528,0.0,0.34375,0.0,0.0,0.0,0.6923076923076921,0.5161290322580645,0.0,0.0,0.6538461538461537,0.916666666666666,0.0,0.2105263157894734,0.0,0.0,0.0,0.0,0.0,0.4736842105263159,0.8499999999999996,0.5666666666666669,0.4166666666666661,0.916666666666666,0.4705882352941168,0.0,0.3529411764705878,0.0,0.0,0.0,0.1999999999999997,0.0,0.0,0.0,29
