nÂºAp,codigo,MAC
Ap0,A,e4:d3:f2:e7:bf:d8
Ap1,a,e4:d3:f2:e7:bf:d9
Ap2,b,e4_60:80:11:fc:ba
Ap3,c,18:a6:f7:ba:ee:42
Ap4,d,e4:d3:f2:e7:bf:d9
Ap5,e,ec:e1:17:d9:f0:10
Ap6,f,e4:60:80:bc:d3:00
Ap7,g,e4:6e:0e:3a:82:ea
Ap8,h,e0:4a:00:a4:6b:b6
Ap9,i,e4:70:02:46:09:5e
Ap10,j,e6:91:60:ac:6f:ac
Ap11,k,08:3f:bc:da:06:f0
Ap12,l,e4:d3:f2:e7:bf:d8
Ap13,m,e4:d3:f2:e7:bf:d8
Ap14,n,e4:d3:f2:e7:bf:d8
Ap15,o,ec:02:8e:a5:25:f3
Ap16,p,ec:02:8e:a5:25:f3
Ap17,q,e0:4e:26:19:95:f9
Ap18,r,ec:02:8e:a5:25:f3
Ap19,s,e4:d3:f2:e7:bf:d9
Ap20,t,e4:d3:f2:e7:bf:d9
Ap21,u,e4:d3:f2:f9:87:f6
Ap22,v,e0:4a:00:a4:6b:b8
Ap23,w,e2:4a:00:a4:6b:a8
Ap24,x,e0:be:76:a0:0b:ee
Ap25,y,e0:f6:52:58:4b:88
Ap26,z,e2:4a:00:a4:6b:fc
Ap27,B,e0:f6:52:dc:17:4a
Ap28,C,ea:8f:ca:7b:3d:68
Ap29,D,e0:f6:52:dc:17:b0
Ap30,E,e4:b5:aa:80:cf:b4
Ap31,F,e8:46:08:53:2b:36
Ap32,G,e4:ff:ba:1e:be:6a
Ap33,H,e4:66:b3:60:65:e4
Ap34,I,e0:be:76:a0:0b:ef
Ap35,J,e2:f6:52:f5:d1:7a
Ap36,K,ec:e0:81:7d:a5:a8
Ap37,L,e2:f6:52:f5:d7:1a
Ap38,M,e0:f6:52:dc:2e:88
Ap39,N,e0:f6:52:f5:cf:42
Ap40,O,e4:e9:84:60:8d:9c
Ap41,P,e0:f6:52:f5:d2:be
Ap42,Q,e4:da:88:d5:4c:e2
Ap43,R,e8:b4:56:0d:b4:a0
Ap44,S,e2:11:87:bd:3d:d1
Ap45,T,e0:f6:52:f5:d1:7a
Ap46,U,e0:4e:26:87:71:1e
Ap47,V,e4:58:6e:f1:c4:c4
Ap48,W,e0:f6:52:dc:14:b6
Ap49,X,e0:f6:52:f5:d1:d8
Ap50,Y,e8:0f:6f:22:42:40
Ap51,0,e2:f6:52:f5:d1:d8
Ap52,Z,e2:f6:52:f5:d2:be
Ap53,1,e4:e6:fc:da:17:4e
Ap54,2,ee:80:63:64:f3:2d
Ap55,3,ec:84:c6:ff:80:2c
Ap56,4,ec:80:63:64:f3:2d
Ap57,5,e4:74:2a:02:ad:eb
Ap58,6,e4:58:6e:f1:c4:c5
Ap59,7,e2:f6:52:dc:17:96
Ap60,8,e0:f3:c1:d4:36:bc
Ap61,9,ee:84:c6:ff:80:2c
Ap62,.,e0:95:75:fc:ff:77
Ap63,;,e4:e9:84:47:ea:99
Ap64,[,ea:8f:ca:90:22:32
Ap65,-,ea:da:88:d5:4c:e2
Ap66,=,e2:f6:52:dc:14:b6
Ap67,],ee:de:27:ea:e5:ef
Ap68,(,e0:be:76:d4:3a:40
Ap69,+,ee:80:63:64:f3:5a
Ap70,_,e8:da:c4:fa:53:f5
Ap71,),e2:f6:52:f5:d7:4e
Ap72,^,ec:e1:17:e0:e8:86
Ap73,\u0026,nan
Ap74,!,e8:da:c4:fa:7d:ce
Ap75,ba,e8:0f:6f:22:05:8f
Ap76,bb,ec:80:63:64:f1:ec
Ap77,bc,e4:da:88:d5:4c:e3
Ap78,bd,e8:0f:6f:d7:52:00
Ap79,be,e0:f6:52:f5:d2:ce
Ap80,bf,e2:f6:52:f5:d0:da
Ap81,bg,e8:a6:f7:5e:b7:c1
Ap82,bh,e8:47:32:7d:5e:77
Ap83,bi,e8:3a:35:22:c7:08
Ap84,bj,ea:da:c4:fa:53:94
Ap85,bk,e8:da:c4:fa:53:94
Ap86,bl,e8:0f:6f:90:80:0f
Ap87,bm,e8:0f:6f:90:80:00
Ap88,bn,e4:4b:50:27:c7:ed
Ap89,bo,9e:93:4e:35:c8:df
Ap90,bp,e2:f6:52:f5:d2:fc
Ap91,bq,e8:32:14:7c:c8:58
Ap92,br,e8:ff:7b:13:f3:ca
Ap93,bs,e0:f6:52:f5:d0:da
Ap94,bt,e8:c2:fa:9a:38:37
Ap95,bu,ec:84:c6:cd:46:ae
Ap96,bv,ea:da:88:d5:4c:e3
Ap97,bw,e0:e8:82:d4:a2:fa
Ap98,bx,e4:74:2a:02:fb:34
Ap99,by,e4:cc:20:be:3d:2d
Ap100,bz,e0:f6:52:f5:d6:8c
Ap101,bA,e8:b4:56:0d:b4:af
Ap102,bB,e0:f6:52:dc:17:96
Ap103,bC,e4:d3:f2:f3:dd:52
Ap104,bD,e0:f6:52:f5:d7:4e
Ap105,bE,ec:e0:81:7f:14:d8
Ap106,bF,ec:e1:17:e0:2d:06
Ap107,bG,e0:d4:f7:3c:d6:2e
Ap108,bH,ea:da:c4:fa:53:f5
Ap109,bI,e2:f6:52:dc:17:08
Ap110,bJ,e0:f6:52:dc:2c:66
Ap111,bK,e0:e8:82:d4:be:c0
Ap112,bL,e8:da:c4:fa:53:95
Ap113,bM,e0:7b:44:5a:68:70
Ap114,bN,e0:f6:52:f5:d2:fc
Ap115,bO,e4:4b:50:28:a4:88
Ap116,bP,ec:b0:ce:3d:e4:e3
Ap117,bQ,ee:80:63:64:f1:ec
Ap118,bR,e4:f2:6d:af:63:2c
Ap119,bS,e0:be:76:db:8d:98
Ap120,bT,ee:80:63:64:f1:a1
Ap121,bU,ea:da:c4:fa:57:ee
Ap122,bV,ea:da:c4:fa:54:01
Ap123,bW,e2:cd:a7:19:b5:39
Ap124,bX,ec:84:c6:cd:49:e6
Ap125,bY,e8:0f:6f:d7:52:0f
Ap126,bZ,e8:0f:6f:90:5e:40
Ap127,b0,e0:9f:e1:cc:31:28
Ap128,b1,e8:0f:6f:f9:af:80
Ap129,b2,e0:f3:c1:d4:35:70
Ap130,b3,ec:e0:81:7d:f2:4c
Ap131,b4,ec:80:63:64:f3:5a
Ap132,b5,ec:80:63:64:f2:d3
